Brand,Model,Year,Category,Displacement (ccm),Power (hp),Torque (Nm),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder
Yamaha,MT,2023,Naked,890.0,119.0,93.0,14,189,825.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tricity 300,2024,Scooter,292.0,28.0,20.0,13,239,795.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,TMax,2025,Scooter,562.0,47.0,55.0,15,219,800.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,TMax Tech Max,2024,Scooter,560.0,48.0,55.7,15,220,800.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZF,2024,Cross / Enduro,599.0,118.0,60.0,17,190,850.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,TMax Tech Max,2025,Scooter,562.0,47.0,55.0,15,221,800.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ125 Monster Energy Racing Edition,2025,Cross / Enduro,125.0,96.0,Unknown,7,96,980.0,Unknown,Unknown,Unknown,Unknown,Unknown
Yamaha,Tracer 7 GT,2025,Touring / Trail,689.0,72.0,68.0,18,212,845.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ125 2024 50th Anniversary,2024,Cross / Enduro,124.9,95.0,Unknown,7,95,975.0,Unknown,Unknown,Unknown,Unknown,Unknown
Yamaha,YZ450F,2023,Cross / Enduro,449.0,109.0,Unknown,6.2,109,965.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Ténéré 700,2023,Street,689.0,73.0,67.0,16,204,875.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YXZ1000R,2025,Street,998.0,699.0,Unknown,34,699,Unknown,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2025,Naked,321.0,42.0,29.5,14,167,780.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Ténéré 700 Rally Edition,2023,Street,689.0,73.0,67.0,16,204,895.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 9 GT,2024,Touring / Trail,889.0,119.0,93.0,18.7,220,810.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Ténéré 700 Rally,2025,Street,689.0,73.0,68.0,16,210,910.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XMAX 300 Tech MAX,2023,Scooter,292.0,28.0,29.0,13.2,183,795.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,TMax,2024,Scooter,560.0,48.0,55.7,15,218,800.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2023,Naked,689.0,73.0,67.0,14,184,805.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XMAX 125 Tech MAX,2025,Scooter,124.66,12.0,11.0,13.2,167,800.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 7 GT,2023,Touring / Trail,689.0,73.0,67.0,2023,196,835.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,NMAX 125 Tech Max,2025,Scooter,125.0,12.0,11.2,7.1,132,770.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2024,Naked,890.0,119.0,7.0,14,193,825.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 9,2025,Touring / Trail,889.0,119.0,93.0,19,219,845.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tracer 9 GT,2025,Touring / Trail,889.0,119.0,93.0,19,227,845.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,NMAX 125,2024,Scooter,125.0,12.0,11.2,7.1,131,765.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ65,2025,Cross / Enduro,65.0,61.0,Unknown,3.5,61,755.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,MT,2024,Naked,998.0,166.0,112.0,17,212,835.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,XSR700 Legacy,2023,Naked,689.0,75.0,68.0,14,190,815.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,Tricity 300,2025,Scooter,292.0,28.0,28.9,13,239,795.0,Unknown,Chain,Unknown,Unknown,Unknown
Yamaha,YZ250,2023,Cross / Enduro,249.0,103.0,Unknown,7,103,975.0,Unknown,Chain,Unknown,Unknown,Unknown
