Brand,Model,Year,Category,Displacement (ccm),Power (hp),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Torque (Nm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder
tgb,303r (150 cc),2007,Scooter,151.0,10.1,6.8,122.0,,,Oil & air,Belt,Automatic, four-stroke,Single cylinder
tgb,303r 125,2006,Scooter,124.2,8.6,6.8,110.0,,,Air,Belt,Unknown, four-stroke,Single cylinder
tgb,303r 150,2006,Scooter,151.0,10.1,6.8,110.0,,,Oil & air,Belt,Unknown, four-stroke,Single cylinder
tgb,303r 50,2006,Scooter,49.3,4.9,6.8,92.0,,,Oil & air,Belt,Unknown, two-stroke,Single cylinder
tgb,303rs 125,2008,Scooter,124.0,8.6,6.8,110.0,790.0,,Air,Unknown,Unknown, four-stroke,Single cylinder
tgb,akros tec,2006,Scooter,49.3,4.9,5.3,92.0,,,Air,Belt,Unknown, two-stroke,Single cylinder
tgb,akros tec 50,2008,Scooter,49.0,4.9,5.3,92.0,760.0,,Unknown,Unknown,Unknown, four-stroke,Single cylinder
tgb,akrostec,2007,Scooter,49.3,4.9,5.3,92.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,beeline tapo 50,2021,Scooter,49.3,4.9,5.5,83.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,beeline tapo 50 rs,2021,Scooter,49.3,4.9,5.5,83.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,bellavita,2016,Scooter,125.0,14.8,8.8,142.0,,,Liquid,Belt,Automatic, four-stroke,Single cylinder
tgb,bellavita 125i,2012,Scooter,124.6,14.8,9.0,143.5,,,Liquid,Belt,Unknown, four-stroke,Single cylinder
tgb,bellavita 300i,2012,Scooter,264.0,23.1,9.0,152.0,,,Liquid,Belt,Automatic, four-stroke,Single cylinder
tgb,blade 1000 ltx eps,2022,ATV,997.0,83.0,23.0,1000.0,914.0,89.9,Liquid,Shaft drive,Automatic, four-stroke,V2
